date,date_de,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2025-04-25,25.04.2025,40,14,13,45,43,8,5
2025-04-22,22.04.2025,23,38,16,10,29,5,3
2025-04-18,18.04.2025,12,8,7,29,44,3,12
2025-04-15,15.04.2025,8,13,35,11,33,1,10
2025-04-11,11.04.2025,49,28,26,27,2,1,10
2025-04-08,08.04.2025,47,40,39,41,17,5,8
2025-04-04,04.04.2025,19,38,29,37,23,8,2
2025-04-01,01.04.2025,39,41,17,50,12,9,12
2025-03-28,28.03.2025,19,2,34,15,49,2,6
2025-03-25,25.03.2025,35,50,30,11,3,5,4
2025-03-21,21.03.2025,8,12,14,16,9,6,12
2025-03-18,18.03.2025,50,47,14,7,1,3,7
2025-03-14,14.03.2025,6,13,37,45,28,10,5
2025-03-11,11.03.2025,22,23,18,44,15,11,1
2025-03-07,07.03.2025,12,42,32,11,7,4,1
2025-03-04,04.03.2025,48,4,35,12,37,4,10
2025-02-28,28.02.2025,21,3,20,4,13,8,12
2025-02-25,25.02.2025,31,28,42,38,48,10,3
2025-02-21,21.02.2025,29,35,36,26,18,12,11
2025-02-18,18.02.2025,44,1,19,14,9,2,3
2025-02-14,14.02.2025,45,18,14,12,50,10,2
2025-02-11,11.02.2025,47,12,3,22,28,1,12
2025-02-07,07.02.2025,27,33,15,45,17,9,5
2025-02-04,04.02.2025,41,21,10,18,42,9,3
2025-01-31,31.01.2025,47,32,1,23,42,11,4
2025-01-28,28.01.2025,43,7,28,46,2,12,5
2025-01-24,24.01.2025,46,16,2,9,47,9,3
2025-01-21,21.01.2025,3,17,40,22,28,9,4
2025-01-17,17.01.2025,31,18,9,7,14,7,8
2025-01-14,14.01.2025,30,20,11,17,10,2,6
2025-01-10,10.01.2025,38,17,42,48,34,2,11
2025-01-07,07.01.2025,16,44,20,1,23,9,5
2025-01-03,03.01.2025,27,21,20,29,1,10,8
2024-12-31,31.12.2024,26,34,49,2,21,7,12
2024-12-27,27.12.2024,27,9,37,1,25,6,8
2024-12-24,24.12.2024,36,15,39,28,9,6,7
2024-12-20,20.12.2024,3,10,32,1,44,8,1
2024-12-17,17.12.2024,14,35,42,18,11,4,11
2024-12-13,13.12.2024,19,42,4,35,1,1,3
2024-12-10,10.12.2024,23,17,43,30,41,11,4
2024-12-06,06.12.2024,14,45,50,47,8,2,12
2024-12-03,03.12.2024,20,24,37,7,23,10,4
2024-11-29,29.11.2024,24,40,25,19,10,5,9
2024-11-26,26.11.2024,37,20,32,21,28,1,5
2024-11-22,22.11.2024,30,10,41,6,34,7,10
2024-11-19,19.11.2024,4,26,19,27,7,5,4
2024-11-15,15.11.2024,46,35,31,50,27,3,10
2024-11-12,12.11.2024,2,49,38,3,34,10,11
2024-11-08,08.11.2024,23,38,6,42,45,12,9
